LOCATION	INDICATOR	SUBJECT	MEASURE	FREQUENCY	TIME	Value	Flag Codes
AUS	HOUSECOST	PRICEINCOME	IDX2015	A	1992	66.30267613	
AUS	HOUSECOST	PRICEINCOME	IDX2015	A	1993	66.48826277	
AUS	HOUSECOST	PRICEINCOME	IDX2015	A	1994	65.74471914	
AUS	HOUSECOST	PRICEINCOME	IDX2015	A	1995	63.57133743	
AUS	HOUSECOST	PRICEINCOME	IDX2015	A	1996	60.99500934	
AUS	HOUSECOST	PRICEINCOME	IDX2015	A	1997	61.26902377	
AUS	HOUSECOST	PRICEINCOME	IDX2015	A	1998	64.72902186	
AUS	HOUSECOST	PRICEINCOME	IDX2015	A	1999	66.2970199	
AUS	HOUSECOST	PRICEINCOME	IDX2015	A	2000	68.23780683	
AUS	HOUSECOST	PRICEINCOME	IDX2015	A	2001	70.12988463	
AUS	HOUSECOST	PRICEINCOME	IDX2015	A	2002	81.64859835	
AUS	HOUSECOST	PRICEINCOME	IDX2015	A	2003	92.19179769	
AUS	HOUSECOST	PRICEINCOME	IDX2015	A	2004	91.34529667	
AUS	HOUSECOST	PRICEINCOME	IDX2015	A	2005	88.35610144	
AUS	HOUSECOST	PRICEINCOME	IDX2015	A	2006	89.64917831	
AUS	HOUSECOST	PRICEINCOME	IDX2015	A	2007	91.05977273	
AUS	HOUSECOST	PRICEINCOME	IDX2015	A	2008	88.0188796	
AUS	HOUSECOST	PRICEINCOME	IDX2015	A	2009	87.46186242	
AUS	HOUSECOST	PRICEINCOME	IDX2015	A	2010	93.89103664	
AUS	HOUSECOST	PRICEINCOME	IDX2015	A	2011	86.30727772	
AUS	HOUSECOST	PRICEINCOME	IDX2015	A	2012	84.77300326	
AUS	HOUSECOST	PRICEINCOME	IDX2015	A	2013	87.9579723	
AUS	HOUSECOST	PRICEINCOME	IDX2015	A	2014	92.78253354	
AUS	HOUSECOST	PRICEINCOME	IDX2015	A	2015	100	
AUS	HOUSECOST	PRICEINCOME	IDX2015	A	2016	105.1040395	
AUS	HOUSECOST	PRICEINCOME	IDX2015	A	2017	112.798084	
AUS	HOUSECOST	PRICEINCOME	IDX2015	A	2018	109.4719589	
AUS	HOUSECOST	PRICEINCOME	IDX2015	A	2019	103.0811927	
AUS	HOUSECOST	PRICERENT	IDX2015	A	1973	40.92020248	
AUS	HOUSECOST	PRICERENT	IDX2015	A	1974	45.06344061	
AUS	HOUSECOST	PRICERENT	IDX2015	A	1975	42.91994762	
AUS	HOUSECOST	PRICERENT	IDX2015	A	1976	41.70440561	
AUS	HOUSECOST	PRICERENT	IDX2015	A	1977	40.63102629	
AUS	HOUSECOST	PRICERENT	IDX2015	A	1978	39.46336718	
AUS	HOUSECOST	PRICERENT	IDX2015	A	1979	41.16282137	
AUS	HOUSECOST	PRICERENT	IDX2015	A	1980	43.57277311	
AUS	HOUSECOST	PRICERENT	IDX2015	A	1981	46.40659504	
AUS	HOUSECOST	PRICERENT	IDX2015	A	1982	43.04789438	
AUS	HOUSECOST	PRICERENT	IDX2015	A	1983	41.75136944	
AUS	HOUSECOST	PRICERENT	IDX2015	A	1984	43.37611563	
AUS	HOUSECOST	PRICERENT	IDX2015	A	1985	44.06232746	
AUS	HOUSECOST	PRICERENT	IDX2015	A	1986	42.7376382	
AUS	HOUSECOST	PRICERENT	IDX2015	A	1987	40.9724532	
AUS	HOUSECOST	PRICERENT	IDX2015	A	1988	44.96647302	
AUS	HOUSECOST	PRICERENT	IDX2015	A	1989	51.34433756	
AUS	HOUSECOST	PRICERENT	IDX2015	A	1990	49.19662742	
AUS	HOUSECOST	PRICERENT	IDX2015	A	1991	48.86181651	
AUS	HOUSECOST	PRICERENT	IDX2015	A	1992	49.1467484	
AUS	HOUSECOST	PRICERENT	IDX2015	A	1993	50.1926272	
AUS	HOUSECOST	PRICERENT	IDX2015	A	1994	51.62885634	
AUS	HOUSECOST	PRICERENT	IDX2015	A	1995	51.37548031	
AUS	HOUSECOST	PRICERENT	IDX2015	A	1996	50.25387495	
AUS	HOUSECOST	PRICERENT	IDX2015	A	1997	50.78045538	
AUS	HOUSECOST	PRICERENT	IDX2015	A	1998	52.90081243	
AUS	HOUSECOST	PRICERENT	IDX2015	A	1999	55.2586432	
AUS	HOUSECOST	PRICERENT	IDX2015	A	2000	58.06223511	
AUS	HOUSECOST	PRICERENT	IDX2015	A	2001	62.61883105	
AUS	HOUSECOST	PRICERENT	IDX2015	A	2002	72.55845327	
AUS	HOUSECOST	PRICERENT	IDX2015	A	2003	84.07167145	
AUS	HOUSECOST	PRICERENT	IDX2015	A	2004	87.15432079	
AUS	HOUSECOST	PRICERENT	IDX2015	A	2005	86.82397891	
AUS	HOUSECOST	PRICERENT	IDX2015	A	2006	89.89006285	
AUS	HOUSECOST	PRICERENT	IDX2015	A	2007	94.17116706	
AUS	HOUSECOST	PRICERENT	IDX2015	A	2008	90.91117986	
AUS	HOUSECOST	PRICERENT	IDX2015	A	2009	88.55768092	
AUS	HOUSECOST	PRICERENT	IDX2015	A	2010	94.83064211	
AUS	HOUSECOST	PRICERENT	IDX2015	A	2011	88.73118165	
AUS	HOUSECOST	PRICERENT	IDX2015	A	2012	84.90535442	
AUS	HOUSECOST	PRICERENT	IDX2015	A	2013	87.63147011	
AUS	HOUSECOST	PRICERENT	IDX2015	A	2014	93.22825195	
AUS	HOUSECOST	PRICERENT	IDX2015	A	2015	100	
AUS	HOUSECOST	PRICERENT	IDX2015	A	2016	104.7145006	
AUS	HOUSECOST	PRICERENT	IDX2015	A	2017	112.7468797	
AUS	HOUSECOST	PRICERENT	IDX2015	A	2018	110.4090438	
AUS	HOUSECOST	PRICERENT	IDX2015	A	2019	105.5410331	
AUS	HOUSECOST	REAL	IDX2015	A	1970	26.58802222	
AUS	HOUSECOST	REAL	IDX2015	A	1971	27.71380558	
AUS	HOUSECOST	REAL	IDX2015	A	1972	29.11546504	
AUS	HOUSECOST	REAL	IDX2015	A	1973	32.26629802	
AUS	HOUSECOST	REAL	IDX2015	A	1974	34.25595538	
AUS	HOUSECOST	REAL	IDX2015	A	1975	32.4236297	
AUS	HOUSECOST	REAL	IDX2015	A	1976	31.69769316	
AUS	HOUSECOST	REAL	IDX2015	A	1977	31.09024735	
AUS	HOUSECOST	REAL	IDX2015	A	1978	30.14742839	
AUS	HOUSECOST	REAL	IDX2015	A	1979	31.12500521	
AUS	HOUSECOST	REAL	IDX2015	A	1980	31.88896374	
AUS	HOUSECOST	REAL	IDX2015	A	1981	33.60984296	
AUS	HOUSECOST	REAL	IDX2015	A	1982	31.55844692	
AUS	HOUSECOST	REAL	IDX2015	A	1983	30.52066335	
AUS	HOUSECOST	REAL	IDX2015	A	1984	31.99526023	
AUS	HOUSECOST	REAL	IDX2015	A	1985	33.06470441	
AUS	HOUSECOST	REAL	IDX2015	A	1986	32.70758546	
AUS	HOUSECOST	REAL	IDX2015	A	1987	32.09258278	
AUS	HOUSECOST	REAL	IDX2015	A	1988	36.73673941	
AUS	HOUSECOST	REAL	IDX2015	A	1989	43.05493436	
AUS	HOUSECOST	REAL	IDX2015	A	1990	41.06006177	
AUS	HOUSECOST	REAL	IDX2015	A	1991	40.60505836	
AUS	HOUSECOST	REAL	IDX2015	A	1992	40.46071646	
AUS	HOUSECOST	REAL	IDX2015	A	1993	40.66102335	
AUS	HOUSECOST	REAL	IDX2015	A	1994	41.45524975	
AUS	HOUSECOST	REAL	IDX2015	A	1995	40.82807455	
AUS	HOUSECOST	REAL	IDX2015	A	1996	40.38235008	
AUS	HOUSECOST	REAL	IDX2015	A	1997	41.40269163	
AUS	HOUSECOST	REAL	IDX2015	A	1998	43.83995614	
AUS	HOUSECOST	REAL	IDX2015	A	1999	46.52137765	
AUS	HOUSECOST	REAL	IDX2015	A	2000	48.70101289	
AUS	HOUSECOST	REAL	IDX2015	A	2001	52.38470411	
AUS	HOUSECOST	REAL	IDX2015	A	2002	60.4519934	
AUS	HOUSECOST	REAL	IDX2015	A	2003	69.75216582	
AUS	HOUSECOST	REAL	IDX2015	A	2004	73.02477378	
AUS	HOUSECOST	REAL	IDX2015	A	2005	72.78879005	
AUS	HOUSECOST	REAL	IDX2015	A	2006	75.10056715	
AUS	HOUSECOST	REAL	IDX2015	A	2007	80.49133414	
AUS	HOUSECOST	REAL	IDX2015	A	2008	81.12359284	
AUS	HOUSECOST	REAL	IDX2015	A	2009	82.24822878	
AUS	HOUSECOST	REAL	IDX2015	A	2010	89.88582242	
AUS	HOUSECOST	REAL	IDX2015	A	2011	85.89535324	
AUS	HOUSECOST	REAL	IDX2015	A	2012	83.60069994	
AUS	HOUSECOST	REAL	IDX2015	A	2013	87.02693974	
AUS	HOUSECOST	REAL	IDX2015	A	2014	93.09139062	
AUS	HOUSECOST	REAL	IDX2015	A	2015	100	
AUS	HOUSECOST	REAL	IDX2015	A	2016	104.5166246	
AUS	HOUSECOST	REAL	IDX2015	A	2017	111.804647	
AUS	HOUSECOST	REAL	IDX2015	A	2018	108.4184685	
AUS	HOUSECOST	REAL	IDX2015	A	2019	102.1963216	
AUS	HOUSECOST	RENT	IDX2015	A	1973	9.366454921	
AUS	HOUSECOST	RENT	IDX2015	A	1974	10.4147668	
AUS	HOUSECOST	RENT	IDX2015	A	1975	12.12397652	
AUS	HOUSECOST	RENT	IDX2015	A	1976	13.90155174	
AUS	HOUSECOST	RENT	IDX2015	A	1977	15.42844443	
AUS	HOUSECOST	RENT	IDX2015	A	1978	16.70465209	
AUS	HOUSECOST	RENT	IDX2015	A	1979	18.11759726	
AUS	HOUSECOST	RENT	IDX2015	A	1980	19.34822742	
AUS	HOUSECOST	RENT	IDX2015	A	1981	20.92069512	
AUS	HOUSECOST	RENT	IDX2015	A	1982	23.38195292	
AUS	HOUSECOST	RENT	IDX2015	A	1983	25.45579068	
AUS	HOUSECOST	RENT	IDX2015	A	1984	27.32452342	
AUS	HOUSECOST	RENT	IDX2015	A	1985	29.64904871	
AUS	HOUSECOST	RENT	IDX2015	A	1986	32.70282659	
AUS	HOUSECOST	RENT	IDX2015	A	1987	36.07566701	
AUS	HOUSECOST	RENT	IDX2015	A	1988	40.20055253	
AUS	HOUSECOST	RENT	IDX2015	A	1989	44.0063855	
AUS	HOUSECOST	RENT	IDX2015	A	1990	46.62717083	
AUS	HOUSECOST	RENT	IDX2015	A	1991	48.15406352	
AUS	HOUSECOST	RENT	IDX2015	A	1992	48.60985608	
AUS	HOUSECOST	RENT	IDX2015	A	1993	48.8377461	
AUS	HOUSECOST	RENT	IDX2015	A	1994	49.17958615	
AUS	HOUSECOST	RENT	IDX2015	A	1995	50.02279375	
AUS	HOUSECOST	RENT	IDX2015	A	1996	51.54968644	
AUS	HOUSECOST	RENT	IDX2015	A	1997	53.05379163	
AUS	HOUSECOST	RENT	IDX2015	A	1998	54.67183933	
AUS	HOUSECOST	RENT	IDX2015	A	1999	56.13036202	
AUS	HOUSECOST	RENT	IDX2015	A	2000	57.86236223	
AUS	HOUSECOST	RENT	IDX2015	A	2001	59.66272246	
AUS	HOUSECOST	RENT	IDX2015	A	2002	61.14403514	
AUS	HOUSECOST	RENT	IDX2015	A	2003	62.28351029	
AUS	HOUSECOST	RENT	IDX2015	A	2004	63.85597798	
AUS	HOUSECOST	RENT	IDX2015	A	2005	65.26892316	
AUS	HOUSECOST	RENT	IDX2015	A	2006	67.38833842	
AUS	HOUSECOST	RENT	IDX2015	A	2007	71.08022889	
AUS	HOUSECOST	RENT	IDX2015	A	2008	76.64084708	
AUS	HOUSECOST	RENT	IDX2015	A	2009	81.74568272	
AUS	HOUSECOST	RENT	IDX2015	A	2010	85.30083316	
AUS	HOUSECOST	RENT	IDX2015	A	2011	89.22061115	
AUS	HOUSECOST	RENT	IDX2015	A	2012	92.91250161	
AUS	HOUSECOST	RENT	IDX2015	A	2013	95.966282	
AUS	HOUSECOST	RENT	IDX2015	A	2014	98.3819623	
AUS	HOUSECOST	RENT	IDX2015	A	2015	100	
AUS	HOUSECOST	RENT	IDX2015	A	2016	100.7520626	
AUS	HOUSECOST	RENT	IDX2015	A	2017	101.3901627	
AUS	HOUSECOST	RENT	IDX2015	A	2018	102.0510378	
AUS	HOUSECOST	RENT	IDX2015	A	2019	102.4157128	
AUT	HOUSECOST	NOMINAL	IDX2015	A	2000	58.58860759	
AUT	HOUSECOST	NOMINAL	IDX2015	A	2001	59.08661076	
AUT	HOUSECOST	NOMINAL	IDX2015	A	2002	59.42349525	
AUT	HOUSECOST	NOMINAL	IDX2015	A	2003	59.58461392	
AUT	HOUSECOST	NOMINAL	IDX2015	A	2004	58.44213608	
AUT	HOUSECOST	NOMINAL	IDX2015	A	2005	61.3569193	
AUT	HOUSECOST	NOMINAL	IDX2015	A	2006	63.87622943	
AUT	HOUSECOST	NOMINAL	IDX2015	A	2007	66.86424842	
AUT	HOUSECOST	NOMINAL	IDX2015	A	2008	67.58195886	
AUT	HOUSECOST	NOMINAL	IDX2015	A	2009	70.2184462	
AUT	HOUSECOST	NOMINAL	IDX2015	A	2010	76.7975	
AUT	HOUSECOST	NOMINAL	IDX2015	A	2011	81.59525	
AUT	HOUSECOST	NOMINAL	IDX2015	A	2012	87.5685	
AUT	HOUSECOST	NOMINAL	IDX2015	A	2013	92.0975	
AUT	HOUSECOST	NOMINAL	IDX2015	A	2014	95.33075	
AUT	HOUSECOST	NOMINAL	IDX2015	A	2015	100	
AUT	HOUSECOST	NOMINAL	IDX2015	A	2016	108.53225	
AUT	HOUSECOST	NOMINAL	IDX2015	A	2017	114.258	
AUT	HOUSECOST	NOMINAL	IDX2015	A	2018	119.638	
AUT	HOUSECOST	NOMINAL	IDX2015	A	2019	126.598	
AUT	HOUSECOST	PRICEINCOME	IDX2015	A	2000	82.15491522	
AUT	HOUSECOST	PRICEINCOME	IDX2015	A	2001	81.73128303	
AUT	HOUSECOST	PRICEINCOME	IDX2015	A	2002	80.88034594	
AUT	HOUSECOST	PRICEINCOME	IDX2015	A	2003	78.65520451	
AUT	HOUSECOST	PRICEINCOME	IDX2015	A	2004	74.80859698	
AUT	HOUSECOST	PRICEINCOME	IDX2015	A	2005	74.08577217	
AUT	HOUSECOST	PRICEINCOME	IDX2015	A	2006	74.01207557	
AUT	HOUSECOST	PRICEINCOME	IDX2015	A	2007	74.19296429	
AUT	HOUSECOST	PRICEINCOME	IDX2015	A	2008	73.01100952	
AUT	HOUSECOST	PRICEINCOME	IDX2015	A	2009	76.03374808	
AUT	HOUSECOST	PRICEINCOME	IDX2015	A	2010	82.68904823	
AUT	HOUSECOST	PRICEINCOME	IDX2015	A	2011	85.89081335	
AUT	HOUSECOST	PRICEINCOME	IDX2015	A	2012	89.0762538	
AUT	HOUSECOST	PRICEINCOME	IDX2015	A	2013	94.15908157	
AUT	HOUSECOST	PRICEINCOME	IDX2015	A	2014	95.57955134	
AUT	HOUSECOST	PRICEINCOME	IDX2015	A	2015	100	
AUT	HOUSECOST	PRICEINCOME	IDX2015	A	2016	105.6076706	
AUT	HOUSECOST	PRICEINCOME	IDX2015	A	2017	108.4841138	
AUT	HOUSECOST	PRICEINCOME	IDX2015	A	2018	110.237063	
AUT	HOUSECOST	PRICEINCOME	IDX2015	A	2019	112.895932	
AUT	HOUSECOST	PRICERENT	IDX2015	A	2000	94.93779862	
AUT	HOUSECOST	PRICERENT	IDX2015	A	2001	93.11511962	
AUT	HOUSECOST	PRICERENT	IDX2015	A	2002	92.10369358	
AUT	HOUSECOST	PRICERENT	IDX2015	A	2003	88.48497799	
AUT	HOUSECOST	PRICERENT	IDX2015	A	2004	83.87776121	
AUT	HOUSECOST	PRICERENT	IDX2015	A	2005	85.13641771	
AUT	HOUSECOST	PRICERENT	IDX2015	A	2006	86.68290889	
AUT	HOUSECOST	PRICERENT	IDX2015	A	2007	88.98653839	
AUT	HOUSECOST	PRICERENT	IDX2015	A	2008	88.8238335	
AUT	HOUSECOST	PRICERENT	IDX2015	A	2009	88.16793449	
AUT	HOUSECOST	PRICERENT	IDX2015	A	2010	92.74936067	
AUT	HOUSECOST	PRICERENT	IDX2015	A	2011	95.37812312	
AUT	HOUSECOST	PRICERENT	IDX2015	A	2012	98.04763685	
AUT	HOUSECOST	PRICERENT	IDX2015	A	2013	100.0157358	
AUT	HOUSECOST	PRICERENT	IDX2015	A	2014	99.58026644	
AUT	HOUSECOST	PRICERENT	IDX2015	A	2015	100	
AUT	HOUSECOST	PRICERENT	IDX2015	A	2016	105.3096653	
AUT	HOUSECOST	PRICERENT	IDX2015	A	2017	106.4629113	
AUT	HOUSECOST	PRICERENT	IDX2015	A	2018	107.479	
AUT	HOUSECOST	PRICERENT	IDX2015	A	2019	110.4462938	
AUT	HOUSECOST	REAL	IDX2015	A	2000	78.15476393	
AUT	HOUSECOST	REAL	IDX2015	A	2001	77.01288955	
AUT	HOUSECOST	REAL	IDX2015	A	2002	76.6050431	
AUT	HOUSECOST	REAL	IDX2015	A	2003	75.65891128	
AUT	HOUSECOST	REAL	IDX2015	A	2004	72.92400606	
AUT	HOUSECOST	REAL	IDX2015	A	2005	74.76224186	
AUT	HOUSECOST	REAL	IDX2015	A	2006	76.25742913	
AUT	HOUSECOST	REAL	IDX2015	A	2007	77.8939493	
AUT	HOUSECOST	REAL	IDX2015	A	2008	77.10532771	
AUT	HOUSECOST	REAL	IDX2015	A	2009	79.73633034	
AUT	HOUSECOST	REAL	IDX2015	A	2010	85.74465964	
AUT	HOUSECOST	REAL	IDX2015	A	2011	88.37316968	
AUT	HOUSECOST	REAL	IDX2015	A	2012	92.58882851	
AUT	HOUSECOST	REAL	IDX2015	A	2013	95.3711498	
AUT	HOUSECOST	REAL	IDX2015	A	2014	96.76929912	
AUT	HOUSECOST	REAL	IDX2015	A	2015	100	
AUT	HOUSECOST	REAL	IDX2015	A	2016	107.04278	
AUT	HOUSECOST	REAL	IDX2015	A	2017	110.4995094	
AUT	HOUSECOST	REAL	IDX2015	A	2018	113.3128497	
AUT	HOUSECOST	REAL	IDX2015	A	2019	117.9426342	
AUT	HOUSECOST	RENT	IDX2015	A	1966	6.677056939	
AUT	HOUSECOST	RENT	IDX2015	A	1967	7.074865125	
AUT	HOUSECOST	RENT	IDX2015	A	1968	7.570594932	
AUT	HOUSECOST	RENT	IDX2015	A	1969	8.123075385	
AUT	HOUSECOST	RENT	IDX2015	A	1970	9.042763502	
AUT	HOUSECOST	RENT	IDX2015	A	1971	10.20224822	
AUT	HOUSECOST	RENT	IDX2015	A	1972	11.23821789	
AUT	HOUSECOST	RENT	IDX2015	A	1973	12.54124888	
AUT	HOUSECOST	RENT	IDX2015	A	1974	13.18886905	
AUT	HOUSECOST	RENT	IDX2015	A	1975	14.5792491	
AUT	HOUSECOST	RENT	IDX2015	A	1976	17.14914603	
AUT	HOUSECOST	RENT	IDX2015	A	1977	18.96404297	
AUT	HOUSECOST	RENT	IDX2015	A	1978	19.98777254	
AUT	HOUSECOST	RENT	IDX2015	A	1979	20.70160273	
AUT	HOUSECOST	RENT	IDX2015	A	1980	21.39317859	
AUT	HOUSECOST	RENT	IDX2015	A	1981	22.68953187	
AUT	HOUSECOST	RENT	IDX2015	A	1982	25.2928103	
AUT	HOUSECOST	RENT	IDX2015	A	1983	28.90813114	
AUT	HOUSECOST	RENT	IDX2015	A	1984	31.10525988	
AUT	HOUSECOST	RENT	IDX2015	A	1985	33.2845814	
AUT	HOUSECOST	RENT	IDX2015	A	1986	34.59261481	
AUT	HOUSECOST	RENT	IDX2015	A	1987	35.7738023	
AUT	HOUSECOST	RENT	IDX2015	A	1988	36.54883306	
AUT	HOUSECOST	RENT	IDX2015	A	1989	37.51636916	
AUT	HOUSECOST	RENT	IDX2015	A	1990	39.08200966	
AUT	HOUSECOST	RENT	IDX2015	A	1991	40.97312615	
AUT	HOUSECOST	RENT	IDX2015	A	1992	43.62814859	
AUT	HOUSECOST	RENT	IDX2015	A	1993	45.89704273	
AUT	HOUSECOST	RENT	IDX2015	A	1994	48.82079473	
AUT	HOUSECOST	RENT	IDX2015	A	1995	52.51345744	
AUT	HOUSECOST	RENT	IDX2015	A	1996	55.70092956	
AUT	HOUSECOST	RENT	IDX2015	A	1997	57.73456142	
AUT	HOUSECOST	RENT	IDX2015	A	1998	59.47904579	
AUT	HOUSECOST	RENT	IDX2015	A	1999	60.70064977	
AUT	HOUSECOST	RENT	IDX2015	A	2000	61.7280936	
AUT	HOUSECOST	RENT	IDX2015	A	2001	63.47190808	
AUT	HOUSECOST	RENT	IDX2015	A	2002	64.54700897	
AUT	HOUSECOST	RENT	IDX2015	A	2003	67.35563355	
AUT	HOUSECOST	RENT	IDX2015	A	2004	69.70130526	
AUT	HOUSECOST	RENT	IDX2015	A	2005	72.09047223	
AUT	HOUSECOST	RENT	IDX2015	A	2006	73.70663547	
AUT	HOUSECOST	RENT	IDX2015	A	2007	75.15457425	
AUT	HOUSECOST	RENT	IDX2015	A	2008	76.0978346	
AUT	HOUSECOST	RENT	IDX2015	A	2009	79.67261904	
AUT	HOUSECOST	RENT	IDX2015	A	2010	82.80881905	
AUT	HOUSECOST	RENT	IDX2015	A	2011	85.55646129	
AUT	HOUSECOST	RENT	IDX2015	A	2012	89.32583582	
AUT	HOUSECOST	RENT	IDX2015	A	2013	92.10108096	
AUT	HOUSECOST	RENT	IDX2015	A	2014	95.76000138	
AUT	HOUSECOST	RENT	IDX2015	A	2015	100	
AUT	HOUSECOST	RENT	IDX2015	A	2016	103.0828014	
AUT	HOUSECOST	RENT	IDX2015	A	2017	107.3404671	
AUT	HOUSECOST	RENT	IDX2015	A	2018	111.3314522	
AUT	HOUSECOST	RENT	IDX2015	A	2019	114.6392261	
BEL	HOUSECOST	NOMINAL	IDX2015	A	1970	7.735564275	
BEL	HOUSECOST	NOMINAL	IDX2015	A	1971	7.676965801	
BEL	HOUSECOST	NOMINAL	IDX2015	A	1972	8.350879682	
BEL	HOUSECOST	NOMINAL	IDX2015	A	1973	9.523478733	
BEL	HOUSECOST	NOMINAL	IDX2015	A	1974	10.95511279	
BEL	HOUSECOST	NOMINAL	IDX2015	A	1975	12.64854182	
BEL	HOUSECOST	NOMINAL	IDX2015	A	1976	15.3269058	
BEL	HOUSECOST	NOMINAL	IDX2015	A	1977	17.8459959	
BEL	HOUSECOST	NOMINAL	IDX2015	A	1978	19.93120203	
